symbol,class
GAPDHS,alzgene
GBA,alzgene
GBP2,alzgene
GC,alzgene
GCK,alzgene
GLO1,alzgene
GLOD4,alzgene
GLP1R,alzgene
GMEB1,alzgene
GMEB2,alzgene
GNA11,alzgene
GNB3,alzgene
GOLM1,alzgene
GOT1,alzgene
GPD1,alzgene
GRB10,alzgene
GRB14,alzgene
GRB2,alzgene
GRB7,alzgene
GRIN2B,alzgene
GRIN3A,alzgene
GRIN3B,alzgene
GRN,alzgene
GSK3B,alzgene
GSTM1,alzgene
GSTM3,alzgene
GSTM4,alzgene
GSTO1,alzgene
GSTO2,alzgene
GSTP1,alzgene
GSTT1,alzgene
GSTZ1,alzgene
GYS1,alzgene
GYS2,alzgene
HBG2,alzgene
HECTD2,alzgene
HFE,alzgene
HHEX,alzgene
HIF1A,alzgene
HK1,alzgene
HK2,alzgene
HLA-DRB1,alzgene
HLA-DRB5,alzgene
HMGCR,alzgene
HMGCS1,alzgene
HMGCS2,alzgene
HMMR,alzgene
HMOX1,alzgene
HMOX2,alzgene
HNF4A,alzgene
HPCAL1,alzgene
HPSE2,alzgene
HSD11B1,alzgene
HSD11B2,alzgene
HSPA1A,alzgene
HSPA1B,alzgene
HSPA1L,alzgene
HSPA5,alzgene
HSPG2,alzgene
HTR2A,alzgene
HTR2C,alzgene
HTR6,alzgene
ICAM1,alzgene
IDE,alzgene
IFFO1,alzgene
IFNG,alzgene
IFT74,alzgene
IGF1,alzgene
IGF1R,alzgene
IL10,alzgene
IL18,alzgene
IL1A,alzgene
IL1B,alzgene
IL1RN,alzgene
IL33,alzgene
IL4,alzgene
IL6,alzgene
IL8,alzgene
INPP5D,alzgene
INPPL1,alzgene
INS,alzgene
INSR,alzgene
IREB2,alzgene
IRF6,alzgene
IRS1,alzgene
KCNJ11,alzgene
KCNJ6,alzgene
KCNMA1,alzgene
KIF11,alzgene
KIF18B,alzgene
KLF5,alzgene
KLK1,alzgene
KNS2,alzgene
LAMB1,alzgene
LCK,alzgene
LDLR,alzgene
LHB,alzgene
LHCGR,alzgene
LIPA,alzgene
LIPC,alzgene
LIPE,alzgene
LIPF,alzgene
LMNA,alzgene
LOC388458,alzgene
LOC439999,alzgene
LOC651924,alzgene
LPA,alzgene
LPAR5,alzgene
LPL,alzgene
LRAT,alzgene
LRP1,alzgene
LRP2,alzgene
LRP3,alzgene
LRP6,alzgene
LRP8,alzgene
LRPAP1,alzgene
LRRK2,alzgene
LRRTM3,alzgene
LSS,alzgene
LTA,alzgene
M6PR,alzgene
MAGI2,alzgene
MAOA,alzgene
MAPK8IP1,alzgene
MAPT,alzgene
MC2R,alzgene
MCM3AP,alzgene
MEF2A,alzgene
MEF2C,alzgene
MEFV,alzgene
MICA,alzgene
MICB,alzgene
MIF,alzgene
MINPP1,alzgene
MME,alzgene
MMP1,alzgene
MMP3,alzgene
MMP9,alzgene
MPO,alzgene
MS4A4A,alzgene
MS4A4E,alzgene
MS4A6A,alzgene
MTHFD1,alzgene
MTHFD1L,alzgene
MTHFR,alzgene
MT-L2,alzgene
MT-ND2,alzgene
MTP18,alzgene
MTR,alzgene
MT-TQ,alzgene
MYH13,alzgene
MYH8,alzgene
MYST4,alzgene
NAT1,alzgene
NAT2,alzgene
NCAM2,alzgene
NCAPD2,alzgene
NCOA2,alzgene
NCSTN,alzgene
NDST2,alzgene
NDUFA3,alzgene
NDUFA6,alzgene
NDUFA8,alzgene
NDUFB7,alzgene
NDUFB8,alzgene
NDUFS1,alzgene
NDUFS4,alzgene
NDUFS7,alzgene
NEDD9,alzgene
NEURL,alzgene
NEUROD1,alzgene
NEUROG3,alzgene
NFKBIA,alzgene
NGB,alzgene
NGF,alzgene
NGFR,alzgene
NME8,alzgene
NOS1,alzgene
NOS2A,alzgene
NOS3,alzgene
NOTCH4,alzgene
NP,alzgene
NPC1,alzgene
NPC2,alzgene
NPY,alzgene
NQO1,alzgene
NR1H2,alzgene
NR3C1,alzgene
NRG1,alzgene
NTRK1,alzgene
NTRK2,alzgene
NUDT1,alzgene
NUMB,alzgene
NXPH1,alzgene
OAT,alzgene
OGG1,alzgene
OLIG2,alzgene
OLR1,alzgene
OPRS1,alzgene
OPTN,alzgene
OTC,alzgene
PARP1,alzgene
PAX4,alzgene
PCDH11X,alzgene
PCGF5,alzgene
PCK1,alzgene
PCK2,alzgene
PCSK9,alzgene
PDCD11,alzgene
PDE3B,alzgene
PFKM,alzgene
PGAM1,alzgene
PGBD1,alzgene
PHKG2,alzgene
PICALM,alzgene
PIK3R1,alzgene
PIN1,alzgene
PITRM1,alzgene
PKP2P1,alzgene
PLA2G1B,alzgene
PLAT,alzgene
PLAU,alzgene
PLCE1,alzgene
PLCG1,alzgene
PLG,alzgene
PMVK,alzgene
PNLIPRP1,alzgene
PNMT,alzgene
POMT1,alzgene
POMT2,alzgene
PON1,alzgene
PON2,alzgene
PON3,alzgene
POU2F1,alzgene
PPARA,alzgene
PPARD,alzgene
PPARG,alzgene
PPARGC1A,alzgene
PPIL2,alzgene
PPM1H,alzgene
PPP1CC,alzgene
PPP1R10,alzgene
PPP1R3A,alzgene
PPP1R3C,alzgene
PPP2R1A,alzgene
PPP2R2B,alzgene
PPP3CB,alzgene
PRDX6,alzgene
PRG1,alzgene
PRKAA1,alzgene
PRKAB2,alzgene
PRND,alzgene
PRNP,alzgene
PRSS11,alzgene
PRSS7,alzgene
PRUNE2,alzgene
PSAP,alzgene
PSEN1,alzgene
PSEN2,alzgene
PSENEN,alzgene
PSMB7,alzgene
PSMB9,alzgene
PTEN,alzgene
PTENP1,alzgene
PTGS2,alzgene
PTK2B,alzgene
PTPLA,alzgene
PVRL2,alzgene
PYY,alzgene
PZP,alzgene
RASSF4,alzgene
RELN,alzgene
REN,alzgene
RFC1,alzgene
RFTN1,alzgene
RGS4,alzgene
RGS6,alzgene
RIN3,alzgene
RPS15,alzgene
RPS6KA2,alzgene
RTN3,alzgene
RUNX1,alzgene
RXRA,alzgene
RXRB,alzgene
RXRG,alzgene
S100B,alzgene
SAMSN1,alzgene
SAR1A,alzgene
SCARB1,alzgene
SCD,alzgene
SEC24C,alzgene
SEL1L,alzgene
SEMA4D,alzgene
SERPINA1,alzgene
SERPINA3,alzgene
SERPINE1,alzgene
SERPINF2,alzgene
SFRP5,alzgene
SGPL1,alzgene
SGPP1,alzgene
SH3PXD2A,alzgene
SIRT1,alzgene
SLC11A1,alzgene
SLC11A2,alzgene
SLC18A3,alzgene
SLC24A4,alzgene
SLC2A2,alzgene
SLC6A3,alzgene
SLC6A4,alzgene
SLIT1,alzgene
SLK,alzgene
SMAD3,alzgene
SNCA,alzgene
SNCAIP,alzgene
SNCG,alzgene
SOAT1,alzgene
SOD2,alzgene
SORCS1,alzgene
SORCS2,alzgene
SORCS3,alzgene
SORL1,alzgene
SORT1,alzgene
SOS1,alzgene
SOS2,alzgene
SREBF1,alzgene
SRP72,alzgene
SST,alzgene
SUPV3L1,alzgene
SYN3,alzgene
TACR2,alzgene
TANC2,alzgene
TANK,alzgene
TAP1,alzgene
TAP2,alzgene
TAPBPL,alzgene
TARDBP,alzgene
TBP,alzgene
TCF2,alzgene
TCF7L2,alzgene
TCN1,alzgene
TCN2,alzgene
TET1,alzgene
TF,alzgene
TFAM,alzgene
TFCP2,alzgene
TGFB1,alzgene
TGM4,alzgene
THRA,alzgene
TIMP1,alzgene
TLL2,alzgene
TLR4,alzgene
TM4SF5,alzgene
TMC5,alzgene
TMED8,alzgene
TMEM132C,alzgene
TMEM63C,alzgene
TNF,alzgene
TNFRSF14,alzgene
TNFRSF1A,alzgene
TNFRSF1B,alzgene
TNFRSF4,alzgene
TNFRSF8,alzgene
TNK1,alzgene
TNMD,alzgene
TOMM40,alzgene
TP53,alzgene
TP63,alzgene
TP73,alzgene
TPH1,alzgene
TRAF2,alzgene
TRAK2,alzgene
TREM2,alzgene
TRPC4AP,alzgene
TSPAN15,alzgene
TTR,alzgene
TUBB,alzgene
UBD,alzgene
UBE2D1,alzgene
UBE2I,alzgene
UBQLN1,alzgene
UCHL1,alzgene
UCP2,alzgene
USF1,alzgene
USF2,alzgene
VCL,alzgene
VCP,alzgene
VDR,alzgene
VEGF,alzgene
VLDLR,alzgene
VPS26A,alzgene
VPS35,alzgene
VR22,alzgene
WNT8B,alzgene
WRN,alzgene
WWC1,alzgene
XRCC1,alzgene
YWHAZ,alzgene
ZAP128,alzgene
ZCWPW1,alzgene
ZNF202,alzgene
ZNF292,alzgene
ZWINT,alzgene
