TargetID	AVG_Signal-H9 hES cells repl3	BEAD_STDEV-H9 hES cells repl3	Detection-H9 hES cells repl3
GI_10047089-S	98.2	3.2	0.09290323
GI_10047091-S	126.3	4.3	0.87096774
GI_10047093-S	1145.1	30.3	1
GI_10047099-S	1030.5	30.1	1
GI_10047103-S	3037.3	59.9	1
GI_10047105-S	106.1	4.5	0.27483871
GI_10047121-S	121.1	5.4	0.75870968
GI_10047123-S	679.6	19.5	1
GI_10047133-A	104.3	4.1	0.22322581
GI_10047133-I	115.9	4.3	0.61032258
GI_10092578-S	101.8	3.3	0.15741935
GI_10092585-S	178.5	7.3	0.99870968
GI_10092596-S	362.9	9.8	1
GI_10092600-S	1181.9	21.3	1
GI_10092602-S	107.7	4.9	0.32516129
GI_10092603-S	123	5.3	0.79354839
GI_10092611-A	481.8	14.5	1
GI_10092616-S	264.8	9.4	1
GI_10092618-S	630	14.1	1
GI_10092638-S	234.5	9.3	1
GI_10092658-S	183.9	4.9	0.99870968
GI_10092668-S	110.9	5	0.43354839
GI_10092672-S	927.4	22.6	1
GI_10092690-S	157.2	5.3	0.99870968
GI_10190657-S	113.5	5.2	0.52
GI_10190665-I	116.1	7.2	0.61548387
GI_10190669-S	122.6	4.9	0.78451613
GI_10190671-S	130.7	7.7	0.93419355
GI_10190679-S	112.2	5.8	0.46967742
GI_10190681-S	173.9	4.2	0.99870968
GI_10190685-S	233.7	7.1	1
GI_10190687-S	115.8	3.2	0.60774194
GI_10190695-S	130.2	8.1	0.92516129
GI_10190697-S	98.3	2.9	0.09290323
GI_10190699-S	111.2	4.9	0.44129032
GI_10190701-S	556	17.4	1
GI_10190705-S	363	12.4	1
GI_10190709-S	128.9	4.5	0.89806452
GI_10190711-S	112.8	5.4	0.4916129
GI_10190741-S	105.3	5	0.24516129
GI_10190743-S	107	5.1	0.30967742
GI_10190745-S	910.9	30.2	1
GI_10190747-S	119.3	5.1	0.70580645
GI_10198655-S	143.4	4.3	0.98451613
GI_10257436-S	105.5	4.3	0.24645161
GI_10280617-S	129.6	6.2	0.91225806
GI_10280625-S	169.3	6	0.99870968
GI_10337584-S	98.3	3.7	0.09290323
GI_10337586-S	112.4	4.9	0.47612903
GI_10337596-S	111.8	4.8	0.45806452
GI_10337606-S	667.2	22.1	1
GI_10337608-S	126.5	6.9	0.87225806
GI_10337610-S	119.8	4.1	0.72
GI_10346128-S	120.8	6.2	0.75354839
GI_10346134-S	507.4	14.7	1
GI_10440557-S	111.2	6.2	0.44129032
GI_10440561-S	144.2	4.7	0.9883871
GI_10440563-S	112.9	4.2	0.49677419
GI_10440565-S	106.7	4.6	0.29935484
GI_10442821-S	434.1	18.2	1
GI_10518496-S	182.8	7.7	0.99870968
GI_10518498-S	204.1	8	0.99870968
GI_10518499-S	118.2	4.4	0.67096774
GI_10518500-S	106.8	4.3	0.30193548
GI_10518501-I	112.4	3.7	0.47612903
GI_10518502-A	99.6	3.6	0.1083871
GI_10518504-I	93.1	3.4	0.03483871
GI_10518505-A	125.8	5.4	0.85935484
GI_10518505-I	235.2	10.3	1
GI_10518507-S	110.3	4.2	0.41806452
GI_10567815-I	125.9	5.1	0.86193548
GI_10567821-S	105.5	5	0.24645161
GI_10567823-S	113.2	7.6	0.51354839
GI_10645198-S	100.1	4.4	0.11870968
GI_10800141-S	112.6	4.6	0.48
GI_10800147-S	408.3	14	1
GI_10800407-S	131.4	5.4	0.94064516
GI_10800411-S	210.9	7.7	1
GI_10800413-S	985	28.5	1
GI_10800414-S	123.7	6.7	0.81677419
GI_10800415-S	99.2	3.7	0.10580645
GI_10800416-S	374.5	8.7	1
GI_10800418-S	704.1	20.7	1
GI_10801344-S	4378.9	110.9	1
GI_10834965-S	906.2	15.6	1
GI_10834967-S	171.1	7.2	0.99870968
GI_10834979-S	99.7	4.4	0.11096774
GI_10834981-S	108.9	6.2	0.37032258
GI_10834983-S	98.2	4.2	0.09290323
GI_10834989-A	137.4	5.4	0.9716129
GI_10834999-S	125.1	5.4	0.84516129
GI_10835001-S	123.2	5.8	0.79870968
GI_10835009-S	348.8	12.4	1
GI_10835012-S	125.1	7.4	0.84387097
GI_10835020-S	155.8	6.2	0.99741935
GI_10835022-S	251	9.2	1
GI_10835024-S	3326	62.7	1
GI_10835040-S	111	5	0.43612903
GI_10835046-S	314.3	7.5	1
GI_10835048-S	5136.1	96.6	1
GI_10835070-S	123.7	5.7	0.81548387
GI_10835082-S	92.4	5.9	0.02967742
GI_10835084-S	269	9.3	1
GI_10835092-S	971.7	25.2	1
GI_10835094-S	109.5	3.9	0.39483871
GI_10835100-S	743.8	22	1
GI_10835102-S	99.4	4.2	0.10580645
GI_10835118-S	342.9	9.9	1
GI_10835134-S	85.5	3.3	0.00387097
GI_10835138-S	111.9	3.6	0.45935484
GI_10835156-S	411.1	11.6	1
GI_10835158-S	110.9	6.4	0.43354839
GI_10835168-S	499.1	17.5	1
GI_10835170-S	131.4	4.8	0.94193548
GI_10835172-S	102.5	4.1	0.17548387
GI_10835174-S	98	5	0.09032258
GI_10835182-S	127.5	5.1	0.88258065
GI_10835186-S	1857.5	45.2	1
GI_10835188-S	952.2	23.6	1
GI_10835196-S	109.4	3.7	0.39225806
GI_10835229-S	95.8	3.4	0.05677419
GI_10835235-S	118.1	5.7	0.66967742
GI_10835237-S	162.2	7.2	0.99870968
GI_10835241-S	130.6	8.1	0.93419355
GI_10835249-S	114.8	4.8	0.56516129
GI_10835253-S	118.2	4.7	0.67225806
GI_10862687-S	130.3	5.7	0.9316129
GI_10862688-S	143.2	5.6	0.98451613
GI_10862689-S	202.2	9.8	0.99870968
GI_10862690-S	343	9.9	1
GI_10862696-S	288.4	7.1	1
GI_10862697-S	254.5	7.2	1
GI_10863870-S	124.1	5	0.82451613
GI_10863872-S	103.1	3.4	0.19612903
GI_10863874-S	34474.3	935.1	1
GI_10863876-S	471.7	14	1
GI_10863878-S	851.7	27.9	1
